Adipose,Colon,Heart
8,8,31
31,91,32
32,103,91
33,115,103
52,120,111
91,123,115
103,131,120
115,154,121
120,171,123
121,172,131
123,173,154
131,180,166
154,209,171
166,225,175
171,227,209
173,230,218
175,332,225
188,341,227
209,345,229
210,347,230
217,371,331
220,373,332
221,374,341
225,376,345
229,377,347
230,379,376
331,380,377
332,383,379
341,439,380
345,455,383
347,466,384
376,469,439
377,476,459
379,479,466
380,492,469
422,494,479
439,497,492
466,507,494
469,517,507
476,557,517
478,558,545
479,561,550
492,568,556
494,569,562
507,571,563
512,573,564
517,574,569
533,575,573
550,578,574
556,579,579
561,582,580
562,583,581
563,587,582
565,588,583
568,591,587
573,595,588
574,597,591
577,598,596
578,607,597
579,633,607
581,652,629
582,653,654
583,768,768
587,781,788
588,788,789
591,822,812
595,849,822
597,854,849
607,868,888
629,888,889
654,892,892
768,907,897
781,909,901
788,910,915
812,926,917
875,930,930
888,937,935
889,941,937
892,944,940
901,948,942
915,973,944
930,979,949
935,980,952
944,987,961
949,990,989
952,992,990
961,995,992
979,996,995
989,1010,996
994,1019,1010
995,1036,1019
996,1052,1020
1002,1053,1033
1007,1062,1035
1019,1085,1052
1020,1093,1053
1033,1095,1062
1049,1101,1068
1052,1117,1078
1053,1134,1085
1062,1157,1093
1078,1171,1095
1085,1276,1097
1093,1298,1116
1095,1302,1136
1118,1306,1140
1134,1308,1152
1136,1309,1157
1140,1311,1160
1157,1319,1161
1160,1321,1164
1161,1328,1171
1165,1331,1174
1167,1333,1200
1171,1349,1297
1174,1389,1302
1175,1390,1303
1178,1391,1308
1180,1392,1309
1185,1404,1310
1200,1412,1311
1298,1441,1312
1302,1442,1319
1303,1453,1325
1306,1468,1328
1308,1476,1332
1309,1485,1333
1319,1488,1389
1325,1490,1392
1328,1502,1393
1333,1517,1404
1389,1527,1412
1392,1542,1425
1393,1544,1439
1404,1567,1441
1412,1574,1442
1425,1576,1459
1441,1583,1468
1442,1584,1476
1453,1589,1477
1459,1590,1485
1476,1594,1488
1477,1603,1490
1488,1612,1497
1490,1613,1498
1497,1618,1502
1498,1620,1519
1502,1621,1527
1519,1669,1542
1527,1671,1544
1544,1677,1567
1561,1680,1572
1563,1683,1574
1567,1693,1576
1572,1694,1582
1574,1699,1583
1576,1709,1584
1583,1743,1588
1584,1768,1594
1589,1769,1603
1594,1776,1613
1595,1786,1618
1603,1788,1620
1613,1789,1621
1618,1793,1629
1620,1795,1669
1622,1798,1671
1641,1799,1680
1669,1801,1683
1671,1804,1694
1677,1805,1699
1680,1809,1701
1683,1816,1709
1693,1817,1742
1699,1819,1743
1701,1824,1769
1709,1836,1775
1743,1862,1776
1767,1877,1785
1768,1893,1789
1769,1894,1795
1771,1951,1798
1784,1973,1801
1785,1974,1804
1788,1976,1807
1790,1987,1808
1793,2029,1810
1794,2032,1817
1798,2079,1819
1801,2085,1824
1804,2086,1836
1805,2093,1862
1807,2102,1877
1808,2103,1951
1810,2106,1973
1816,2107,1974
1819,2123,1976
1824,2125,1977
1836,2127,1987
1862,2130,2028
1868,2131,2080
1870,2137,2083
1877,2138,2085
1893,2139,2086
1894,2141,2103
1951,2143,2105
1973,2156,2106
1974,2161,2110
1976,2221,2112
1977,2235,2123
1987,2236,2125
2028,2261,2127
2029,2262,2130
2032,2273,2131
2079,2274,2137
2085,2275,2138
2086,2276,2139
2093,2277,2141
2103,2278,2143
2105,2283,2156
2106,2286,2161
2110,2307,2221
2112,2324,2223
2123,2328,2236
2125,2329,2240
2126,2351,2262
2132,2399,2273
2137,2400,2274
2139,2401,2275
2141,2405,2276
2155,2406,2277
2161,2408,2278
2211,2409,2286
2221,2418,2324
2223,2421,2328
2235,2425,2330
2236,2435,2344
2262,2437,2351
2268,,2356
2273,,2375
2274,,2390
2275,,2399
2276,,2400
2277,,2406
2278,,2408
2283,,2409
2286,,2410
2297,,2418
2307,,2420
2316,,2433
2328,,2435
2330,,2437
2344,,2468
2351,,
2356,,
2399,,
2402,,
2403,,
2406,,
2408,,
2409,,
2410,,
2418,,
2421,,
2433,,
2435,,
2437
